data_homologacao,numero_homologacao,fabricante,brand,modelo,nome_comercial,tipo_produto,situacao,pais
27/01/2012,027621103269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,ML-2165W,ML-2165W,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
21/11/2014,027711203269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,XE700T1C,XE700T1C,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
19/03/2015,001631501739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,EO-RG920,EO-RG920,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
09/04/2018,003341501739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,EO-PN900,,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
25/04/2014,004841400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-T531,SM-T531,Estação Terminal de Acesso,Homologação Suspensa,Coréia
23/12/2015,045351503269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,SSG-5100GB,SSG-5100GB,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
07/02/2011,011240801993,Apple Inc.,APPLE,A1241,A1241,Telefone Móvel Celular,Homologação Suspensa,Estados Unidos da América
28/06/2011,013081100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S5270L,GT-S5270L,Telefone Móvel Celular,Homologação Suspensa,Coréia
10/07/2009,011960900953,Samsung Electronics Co Ltd.,SAMSUNG,GT-B7320L,GT-B7320L,Telefone Móvel Celular,Homologação Suspensa,Coréia
25/10/2012,028311200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I8750,GT-I8750,Telefone Móvel Celular,Homologação Suspensa,Coréia
08/08/2012,019591200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S3570,GT-S3570,Telefone Móvel Celular,Homologação Suspensa,Coréia
01/08/2014,018071400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G130M/DS,SM-G130M/DS,Telefone Móvel Celular,Homologação Suspensa,Coréia
03/10/2016,039721606506,"HARMAN INTERNATIONAL INDUSTRIES, INC",JBL,T450BT,T450BT,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
19/02/2019,047721500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J105M,Galaxy J1 mini,Telefone Móvel Celular,Homologação Suspensa,Coréia
19/02/2019,047721500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J105M/DS,Galaxy J1 mini,Telefone Móvel Celular,Homologação Suspensa,Coréia
28/07/2014,018501400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G313M,SM-G313M,Telefone Móvel Celular,Homologação Suspensa,Coréia
28/07/2014,018501400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G313M/DS,SM-G313M/DS,Telefone Móvel Celular,Homologação Suspensa,Coréia
08/10/2010,024021000953,Samsung Electronics Co Ltd.,SAMSUNG,GT-E2530,GT-E2530,Telefone Móvel Celular,Homologação Suspensa,Coréia
19/02/2019,047721500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J105M,Galaxy J1 mini,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
19/02/2019,047721500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J105M/DS,Galaxy J1 mini,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
09/08/2018,038561601739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,EP-YO760,,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
15/07/2019,040751600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G610M,Galaxy J7 Prime,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
